source,invoice_date,provider,status,amount_usd,amount_nok_paid,invoice_url,matched_purchase_date,matched_posting_date,card_description,statement_invoice_number,source_pdf,recommended_booking,notes
Cursor,2025-10-25,Cursor,paid,101.75,1042.37,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USXN1dGlIRjVFVEQ5U3RlM1YxcXR5Y0hYQmNQRTNTLDE2NjAwNTIxMA0200StH9GcVa?s=ap,2025-10-25,2025-10-26,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-10-24,Cursor,paid,20.00,205.87,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USVRKN05MeUt0RHlkY0ZUT0Z2dzdSNW9hVHdHRWJNLDE2NjAwNTIxMA0200iEu3s4RZ?s=ap,2025-10-24,2025-10-25,"CURSOR, AI POWERED IDE CURSOR.COM",47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-10-24,Cursor,paid,80.41,827.67,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USVJJNHZ1TFhvdlJUdmNNa05LZzBGb3JtTjZWbDVGLDE2NjAwNTIxMA0200UqLFO1VG?s=ap,2025-10-24,2025-10-25,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-10-22,Cursor,paid,60.06,618.70,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USGRzMlZvWXA1VUJQYThFdnBHdUJWamdWdHA5anJ4LDE2NjAwNTIxMA0200Wr5tw0mE?s=ap,2025-10-22,2025-10-23,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-10-14,Cursor,paid,5.13,53.27,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9URWhtOVZYcEdLSmhKaW5PVHI4QmlmZEpBUnk1RHRPLDE2NjAwNTIxMA0200z2TF2fQh?s=ap,2025-10-14,2025-10-15,CURSOR USAGE SEP CURSOR.COM,47000418010029334015,47000418010029334015.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-10-11,Cursor,paid,40.23,416.34,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9URE93RzZCNnhHWFhscXU1Z3FMTjFQS1Y5QkdpUTRWLDE2NjAwNTIxMA0200qoBjy869?s=ap,2025-10-11,2025-10-12,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334015,47000418010029334015.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-30,Cursor,paid,2.18,22.70,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UV0MwcW0ydnRaa1BPNjBSbzBEZE9wcDR1d0VRRUU2LDE2NjAwNTIxMQ0200QzaSY0v7?s=ap,2025-11-30,2025-12-01,CURSOR USAGE NOV CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-29,Cursor,paid,100.08,1042.49,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UVm1FWHZiMWdOdkV5Rkwzckx6V2lodVNtYVFXcXA5LDE2NjAwNTIxMQ0200PyMNIwmv?s=ap,2025-11-29,2025-11-30,CURSOR USAGE MID NOV CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-26,Cursor,paid,100.08,1046.10,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UVXNBYXg0N29xQWxtZnhZOFI3VXcxU1o1anFMam8wLDE2NjAwNTIxMQ0200QCFRkXwz?s=ap,2025-11-26,2025-11-27,CURSOR USAGE MID NOV CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-26,Cursor,paid,34.35,360.02,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UVWg1YzdxUGViUTRIYmt3Y21Sbm9zT0o4UmpYN1V0LDE2NjAwNTIxMQ0200ZS2fdp4p?s=ap,2025-11-26,2025-11-27,CURSOR USAGE OCT CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
