source,provider,date,description,amount_usd,invoice_url,draft_location,status_code
Cursor,Cursor,2025-10-22,Cursor Usage for October 2025 (Mid-Month Invoice),60.06,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USGRzMlZvWXA1VUJQYThFdnBHdUJWamdWdHA5anJ4LDE2NjAwNTIxMA0200Wr5tw0mE?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016133,201
Cursor,Cursor,2025-10-14,Cursor Usage for September 2025,5.13,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9URWhtOVZYcEdLSmhKaW5PVHI4QmlmZEpBUnk1RHRPLDE2NjAwNTIxMA0200z2TF2fQh?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016135,201
Cursor,Cursor,2025-10-11,Cursor Usage for October 2025 (Mid-Month Invoice),40.23,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9URE93RzZCNnhHWFhscXU1Z3FMTjFQS1Y5QkdpUTRWLDE2NjAwNTIxMA0200qoBjy869?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016137,201
Cursor,Cursor,2025-11-30,"Cursor Usage for cycle starting November 24, 2025",2.18,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UV0MwcW0ydnRaa1BPNjBSbzBEZE9wcDR1d0VRRUU2LDE2NjAwNTIxMQ0200QzaSY0v7?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016138,201
Cursor,Cursor,2025-11-29,"Cursor Usage for cycle starting November 24, 2025 (Mid-Month Invoice)",100.08,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UVm1FWHZiMWdOdkV5Rkwzckx6V2lodVNtYVFXcXA5LDE2NjAwNTIxMQ0200PyMNIwmv?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016139,201
Cursor,Cursor,2025-11-26,"Cursor Usage for cycle starting November 24, 2025 (Mid-Month Invoice)",100.08,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UVXNBYXg0N29xQWxtZnhZOFI3VXcxU1o1anFMam8wLDE2NjAwNTIxMQ0200QCFRkXwz?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016140,201
Cursor,Cursor,2025-11-26,"Cursor Usage for cycle starting October 24, 2025",34.35,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UVWg1YzdxUGViUTRIYmt3Y21Sbm9zT0o4UmpYN1V0LDE2NjAwNTIxMQ0200ZS2fdp4p?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016142,201
Cursor,Cursor,2025-11-21,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.34,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UU3plb3NnWlRjQVgyYkRQempVTURyU2hRaFdZUEpqLDE2NjAwNTIxMQ02009o0TZgqs?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016145,201
Cursor,Cursor,2025-11-18,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.18,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UUmpLc3FVbTNsa3NzdFdHR0xEczJQOW5xSmVvdmNtLDE2NjAwNTIxMQ0200JbRQRTgq?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016146,201
Cursor,Cursor,2025-11-16,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.23,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UUXIzbVRXM29ISTMxenZuMGdOdG03ZEIwb3lzbkhnLDE2NjAwNTIxMQ0200OCxYKh94?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016150,201
Cursor,Cursor,2025-11-15,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.03,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UUU5taHN0ZUpLeHd2VGdFZWFwU3kxM0M2QU9PaW40LDE2NjAwNTIxMQ0200zN1jay6Y?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016151,201
Cursor,Cursor,2025-11-14,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.44,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UUTkzdzVuOXBxVWNneXNVblA4MDdVOXg0b0lCSHhLLDE2NjAwNTIxMQ0200VQYQN1YK?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016152,201
Cursor,Cursor,2025-11-11,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.03,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UUENmaWxmVDUzSm9hVVRWTEJNMjRtY1ZMMjRGbmZTLDE2NjAwNTIxMQ0200Br871aI7?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016155,201
Cursor,Cursor,2025-11-07,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.07,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTlhEVHJsUWtVRGEzNG1IcjZiOWtWVGNwdHJJcXVzLDE2NjAwNTIxMQ0200wlsPiBh4?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016158,201
Cursor,Cursor,2025-11-07,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",101.68,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTk9KSnFhYVBWZUsxREdLcWxvVUdYbEZ2bVFNbmNqLDE2NjAwNTIxMQ0200YIS1nwBZ?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016159,201
Cursor,Cursor,2025-11-06,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.20,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTk1QUjJwVVd4WTZiRzFvWXpYaTlwWnpPdkxTemtYLDE2NjAwNTIxMA0200Zs3LJlTw?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016160,201
Cursor,Cursor,2025-11-06,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.74,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTktRQlNKWXozOFM2QnloMktjOVNWTEo4VlJOWDc5LDE2NjAwNTIxMA0200R5HslVAs?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016162,201
Cursor,Cursor,2025-11-05,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",103.73,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTXl6UDdCdmU0N0FyMmU4T2dINHU4eXlrUWdkemxxLDE2NjAwNTIxMA0200wemmU4jg?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016165,201
Cursor,Cursor,2025-11-04,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",104.95,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTWNNMjFoOG5KVWo0cWh0eUtuNjh1UTJDUnhBdDVwLDE2NjAwNTIxMA0200jGiRU6CL?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016169,201
Cursor,Cursor,2025-11-04,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.06,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTVdmeE5mQTZXeTdocUV0OWFWWEVEV2IxYklicVlaLDE2NjAwNTIxMA0200XQTGemje?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016173,201
Cursor,Cursor,2025-11-04,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.23,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTU5Bc25hd0dvRGpxbHJnRXFIVkpLTGxmRE9obkJJLDE2NjAwNTIxMA02005EhwccyK?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016174,201
Cursor,Cursor,2025-11-02,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.12,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTHNIV0pwNTBpUlo2cnpWMlFpOUhYbHcyS3RHOWNwLDE2NjAwNTIxMA0200ATudBOXt?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016175,201
Cursor,Cursor,2025-12-28,"Cursor Usage for cycle starting December 14, 2025 (Mid-Month Invoice)",101.42,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UZ2R6UFpHY1ZqZW1FNER1STVjZFpZUE5SUXMxYmRuLDE2NjAwNTIxMQ02009UITnVC8?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016178,201
Cursor,Cursor,2025-12-23,"Cursor Usage for cycle starting December 14, 2025 (Mid-Month Invoice)",100.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UZXRTY0ZtbzJsckZDSkFqQUlPTUMyYTF6bEYwdzJPLDE2NjAwNTIxMQ0200MrWAhj6G?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016179,201
Cursor,Cursor,2025-12-16,"Cursor Usage for cycle starting November 29, 2025",95.61,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UY0JYZzZyY0I5ZTcwWVRZeDVmS1h0Q01pRDR6SmtNLDE2NjAwNTIxMQ020001BhkyRQ?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016183,201
Cursor,Cursor,2025-12-14,Cursor billing invoice,200.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UYlpYbDRkVklNN3hGclhOa201V2ZmbGFwYVNtYUgzLDE2NjAwNTIxMQ0200BZtIPfTk?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016184,201
Cursor,Cursor,2025-12-12,"Cursor Usage for cycle starting November 29, 2025 (Mid-Month Invoice)",100.42,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UYWdsT0Z1aUdDSlFiWmRXOXdNaFR6eVZNdmYyNEFwLDE2NjAwNTIxMQ0200Wpjw302s?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016185,201
Cursor,Cursor,2025-12-10,"Cursor Usage for cycle starting November 29, 2025 (Mid-Month Invoice)",100.36,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UYTVJcFVaSlJFVm52VUJMNTlhclZmUGhDTDN1T1F1LDE2NjAwNTIxMQ0200iiYqNfHK?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016187,201
Cursor,Cursor,2025-12-09,"Cursor Usage for cycle starting November 29, 2025 (Mid-Month Invoice)",101.45,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UWldCbjJNSTVMdnoxM1RVdjVqMGU5aHRjRXRMdWtvLDE2NjAwNTIxMQ0200U9VIkVhL?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016188,201
Cursor,Cursor,2025-12-07,"Cursor Usage for cycle starting November 29, 2025 (Mid-Month Invoice)",100.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UWWRjQlJoenJjM3doN0JIY1RIQ3NkY1BvaEx1bGhwLDE2NjAwNTIxMQ0200IghkqjLN?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016191,201
Cursor,Cursor,2025-12-03,"Cursor Usage for cycle starting November 29, 2025 (Mid-Month Invoice)",102.16,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UWDhTZ3BZcnBSV1pCRERyM2c2OFlNcUhNZlJ4djdYLDE2NjAwNTIxMQ020016v9vHJK?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016192,201
Claude,Anthropic Claude,2025-01-22,Claude billing invoice,20.00,https://invoice.stripe.com/i/acct_1MExQ9BjIQrRQnux/live_YWNjdF8xTUV4UTlCaklRclJRbnV4LF9SZEhvMm5scWhVVmF6d3VXWE43bE5zazZQNXFsV3dOLDE2NjAwNzY4OA0200jwlqUkPj?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016194,201
Claude,Anthropic Claude,2025-08-05,Claude billing invoice,25.00,https://invoice.stripe.com/i/acct_1MExQ9BjIQrRQnux/live_YWNjdF8xTUV4UTlCaklRclJRbnV4LF9Tb1VTZVFQc2V3U28wWHhNUW5rTUFyTURCZmdFUjJyLDE2NjAwNzY4OA0200Qy4MXxpL?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016197,201
Claude,Anthropic Claude,2025-09-05,Claude billing invoice,25.00,https://invoice.stripe.com/i/acct_1MExQ9BjIQrRQnux/live_YWNjdF8xTUV4UTlCaklRclJRbnV4LF9UMDZUODVuYXdSY2ZaSnRDUm1WNGdoTTBncmtzeFpHLDE2NjAwNzY4OA0200v1SziwXu?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016198,201
Claude,Anthropic Claude,2025-12-28,Claude billing invoice,25.00,https://invoice.stripe.com/i/acct_1MExQ9BjIQrRQnux/live_YWNjdF8xTUV4UTlCaklRclJRbnV4LF9UZ2duUWhnUHJTR3Z0QkRaaE11TGdWc1hLREhJRTBBLDE2NjAwNzY4OA02006k8IuCtI?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016199,201
Claude,Anthropic Claude,2025-12-29,Claude billing invoice,62.50,https://invoice.stripe.com/i/acct_1MExQ9BjIQrRQnux/live_YWNjdF8xTUV4UTlCaklRclJRbnV4LF9UaEF2OWR4WkZvRnRHbFZOS3JmQU1HSThZRU5mZUFrLDE2NjAwNzY4OA0200ZlWYl6rY?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016201,201
